•	City: guangzhou
•		•	[food] Taotaoju | tags: cantonese, dim_sum, traditional, breakfast, casual | excellence: 0.90
•	[walk] Dotonbori Canal Walk | tags: walk, canal, neon, nightlife, lively | excellence: 0.91
•	[walk] Namba Yasaka Loop | tags: walk, shrine, urban, cultural, daytime | excellence: 0.82
•	[walk] Osaka Castle Park Path | tags: walk, park, seasonal, cherry_blossom, daytime | excellence: 0.89
•	[walk] Kuromon Market Stroll | tags: walk, market, street_food, lively, daytime | excellence: 0.86
•	[walk] Tenjinbashisuji Arcade Walk | tags: walk, shopping_street, covered_arcade, local, daytime | excellence: 0.87
•	[walk] Umeda Night Skyline Walk | tags: walk, skyline, lights, modern, night | excellence: 0.90
•	[walk] Nakanoshima Riverside Path | tags: walk, river, calm, urban, sunset | excellence: 0.85
•	[walk] Shinsekai Evening Walk | tags: walk, retro, neon, nostalgic, night | excellence: 0.88
•	[walk] Sumiyoshi Taisha Bridge Walk | tags: walk, shrine_bridge, traditional, tranquil, daytime | excellence: 0.84
•	[walk] America Mura Street Loop | tags: walk, youth, street_art, fashion, urban | excellence: 0.83


City: seoul
•	[food] Gwangjang Market Bindaetteok | tags: korean, street_food, pancake, market, casual | excellence: 0.88
•	[food] Tosokchon Samgyetang | tags: korean, chicken_soup, traditional, comfort, lunch | excellence: 0.90
•	[food] Jin Ok Hwa Dakhanmari | tags: chicken_hotpot, local_specialty, communal, casual, dinner | excellence: 0.89
•	[food] Maple Tree House Itaewon | tags: korean_bbq, grill, social, dinner, modern | excellence: 0.91
•	[food] Mingles | tags: korean_fusion, fine_dining, tasting_menu, creative, elegant | excellence: 0.95
•	[food] Jungsik | tags: contemporary_korean, michelin, modern, refined, dinner | excellence: 0.96
•	[food] Woo Lae Oak | tags: naengmyeon, noodles, traditional, local, classic | excellence: 0.88
•	[food] Hanilkwan | tags: korean_cuisine, heritage, refined, lunch, dinner | excellence: 0.87
•	[food] Kyochon Chicken Hongdae | tags: fried_chicken, casual, nightlife, popular, local | excellence: 0.84
•	[food] Gusto Taco | tags: mexican, tacos, international, casual, social | excellence: 0.82
•	[food] Vatos Urban Tacos | tags: fusion, mexican_korean, lively, dinner, modern | excellence: 0.83
•	[food] Brera | tags: italian, pasta, wine, cozy, dinner | excellence: 0.81
•	[food] Linus BBQ | tags: american_bbq, smoked_meat, casual, hearty, international | excellence: 0.80
•	[food] Paris Baguette Flagship | tags: bakery, cafe, dessert, casual, modern | excellence: 0.78
•	[food] Cafe Onion Anguk | tags: cafe, coffee, hanok_style, trendy, brunch | excellence: 0.85
•	[food] Oreno Ramen | tags: ramen, japanese, noodles, casual, popular | excellence: 0.82
•	[food] Bukchon Son Mandu | tags: dumplings, traditional, local, snack, casual | excellence: 0.79
•	[food] Gopchang Story | tags: offal_bbq, korean, grill, nightlife, bold_flavor | excellence: 0.83
•	[food] Pro Soy Crab | tags: soy_marinated_crab, seafood, premium, dinner, specialty | excellence: 0.92
•	[food] BHC Chicken | tags: fried_chicken, franchise, casual, takeaway, local | excellence: 0.77
•	[food] Noryangjin Fish Market Stalls | tags: seafood, market, fresh, experiential, dinner | excellence: 0.86
•	[food] O’sulloc Tea House | tags: tea, dessert, matcha, cafe, relaxed | excellence: 0.80
•	[culture] Gyeongbokgung Palace | tags: palace, joseon_dynasty, heritage, landmark, traditional | excellence: 0.95
•	[culture] Changdeokgung Secret Garden | tags: unesco, royal_garden, heritage, tranquil, historic | excellence: 0.94
•	[culture] Bukchon Hanok Village | tags: hanok, heritage, traditional_architecture, cultural, scenic | excellence: 0.92
•	[culture] N Seoul Tower | tags: observation_tower, skyline, landmark, romantic, modern | excellence: 0.90
•	[culture] War Memorial of Korea | tags: museum, military_history, educational, large_scale, cultural | excellence: 0.88
•	[culture] Leeum Samsung Museum of Art | tags: contemporary_art, museum, architecture, exhibits, modern | excellence: 0.89
•	[culture] Dongdaemun Design Plaza | tags: futuristic_architecture, design, exhibitions, urban, modern | excellence: 0.90
•	[culture] Jogyesa Temple | tags: buddhist_temple, spiritual, colorful_lanterns, traditional, heritage | excellence: 0.87
•	[culture] National Museum of Korea | tags: museum, history, artifacts, educational, grand_scale | excellence: 0.91
•	[culture] Hongdae Street Culture | tags: youth_culture, indie_music, street_performance, creative, urban | excellence: 0.86
•	[culture] Itaewon District | tags: multicultural, nightlife, dining_scene, urban, diverse | excellence: 0.85
•	[culture] COEX Starfield Library | tags: library, modern_design, photo_spot, indoor, iconic | excellence: 0.84
•	[culture] Lotte World Tower | tags: skyscraper, skyline, observation_deck, modern, landmark | excellence: 0.89
•	[culture] Deoksugung Palace | tags: palace, stone_wall_road, heritage, historic, urban | excellence: 0.88
•	[culture] Seodaemun Prison History Hall | tags: colonial_history, museum, educational, solemn, heritage | excellence: 0.86
•	[culture] Namsan Hanok Village | tags: traditional_houses, cultural_experience, heritage, outdoor, historic | excellence: 0.87
•	[culture] Gwanghwamun Square | tags: public_square, monuments, civic_space, urban, landmark | excellence: 0.85
•	[culture] Banpo Rainbow Bridge | tags: bridge, night_view, fountain_show, romantic, modern | excellence: 0.88
•	[walk] Cheonggyecheon Stream Walk | tags: walk, urban_stream, daytime, relaxed, scenic | excellence: 0.90
•	[walk] Bukchon Alley Stroll | tags: walk, hanok, heritage, photography, daytime | excellence: 0.89
•	[walk] Namsan Park Trail | tags: walk, forest, hilltop_view, nature, outdoor | excellence: 0.88
•	[walk] Han River Park Path | tags: walk, riverside, sunset, leisure, urban | excellence: 0.87
•	[walk] Ikseon-dong Night Walk | tags: walk, hanok, nightlife, trendy, intimate | excellence: 0.86
•	[walk] Dongdaemun Night Loop | tags: walk, lights, shopping, modern, night | excellence: 0.88
•	[walk] Hongdae Evening Walk | tags: walk, youth, street_art, lively, night | excellence: 0.85
•	[walk] Deoksugung Stone Wall Road | tags: walk, heritage, tree_lined, romantic, daytime | excellence: 0.87
•	[walk] Itaewon Hill Stroll | tags: walk, multicultural, urban_view, casual, daytime | excellence: 0.83
•	[walk] Seongsu Cafe Street Walk | tags: walk, industrial_chic, cafes, trendy, daytime | excellence: 0.84


City: ho chi minh city
•	[food] Pho Hoa Pasteur | tags: vietnamese, pho, noodles, broth, local | excellence: 0.90
•	[food] Banh Mi Huynh Hoa | tags: banh_mi, sandwich, street_food, quick_bite, local | excellence: 0.89
•	[food] Com Tam Ba Ghien | tags: com_tam, broken_rice, pork, local, casual | excellence: 0.88
•	[food] Quan Ut Ut | tags: vietnamese, bun_thit_nuong, noodles, grill, lunch | excellence: 0.87
•	[food] Ben Thanh Market Food Stalls | tags: market, street_food, variety, local, budget | excellence: 0.91  
•	[food] Hoa Tuc Restaurant | tags: vietnamese_fusion, refined, lunch, dinner, modern | excellence: 0.92
•	[food] Hoa Ma Chicken Rice | tags: grilled_chicken, rice, local, hearty, casual | excellence: 0.85
•	[food] Secret Garden Rooftop | tags: rooftop, vietnamese, relaxed, dinner, scenic | excellence: 0.86
•	[food] Bún Bò Huế Corner | tags: spicy, noodle_soup, viet_central, local, lunch | excellence: 0.84
•	[food] Bánh Xèo 46A | tags: banh_xeo, crepe, seafood, street_food, local | excellence: 0.87
•	[food] Quan An Ngon | tags: vietnamese, traditional_dishes, casual, local, group | excellence: 0.90
•	[food] Bun Thit Nuong Kieu Bao | tags: vermicelli, grill, local, lunch, flavorful | excellence: 0.86
•	[food] Ca Phe Trung (Egg Coffee) | tags: coffee, egg_coffee, cafe, dessert, local | excellence: 0.83
•	[food] Pasteur Street Brewing Co. | tags: craft_beer, brewery, casual, social, night | excellence: 0.82
•	[food] Saigon Vegan Kitchen | tags: vegan, healthy, modern, lunch, casual | excellence: 0.80
•	[food] Nam Giao Restaurant | tags: vietnamese, regional_cuisine, elegant, dinner, local | excellence: 0.91
•	[food] Vinh Khanh Street Stalls | tags: street_food, seafood, local, lively, casual | excellence: 0.87
•	[food] Dak Lak Coffee Spot | tags: coffee, ethiopian_beans, cafe, aroma, relaxed | excellence: 0.81
•	[food] Asian Kitchen Saigon | tags: pan_asian, casual, dinner, fusion, international | excellence: 0.79
•	[food] Sushi Bar District 1 | tags: sushi, japanese, dinner, refined, modern | excellence: 0.82
•	[food] BBQ & Beer Alley | tags: barbecue, drinks, casual, night, social | excellence: 0.81
•	[food] Sweet Dessert Stand | tags: street_food, dessert, local, sweet, quick_bite | excellence: 0.78
•	[culture] Ben Thanh Market | tags: market, landmark, historic, local_life, busy | excellence: 0.92  
•	[culture] Notre Dame Cathedral of Saigon | tags: cathedral, colonial_architecture, heritage, landmark, photo | excellence: 0.90  
•	[culture] Saigon Central Post Office | tags: colonial_architecture, heritage, historic, photo_spot, urban | excellence: 0.89  
•	[culture] Independence Palace | tags: history, presidential_palace, heritage, museum, iconic | excellence: 0.91  
•	[culture] War Remnants Museum | tags: museum, war_history, vietnam_war, educational, impactful | excellence: 0.90  
•	[culture] Nguyen Hue Walking Street | tags: pedestrian_street, urban, social_space, evening, lively | excellence: 0.88  
•	[culture] Jade Emperor Pagoda | tags: pagoda, spiritual, ornate, traditional, cultural | excellence: 0.87  
•	[culture] Saigon Opera House | tags: opera_house, architecture, performance, culture, elegant | excellence: 0.89  
•	[culture] Ho Chi Minh City Museum | tags: museum, history, artifacts, education, city_story | excellence: 0.85  
•	[culture] Fine Arts Museum | tags: art, vietnamese_art, heritage, exhibits, creative | excellence: 0.86  
•	[culture] Saigon Skydeck Bitexco | tags: skyscraper, observation, skyline, modern, view | excellence: 0.89  
•	[culture] Cao Dai Temple | tags: temple, vibrant_colors, religious, architecture, cultural | excellence: 0.88  
•	[culture] Thien Hau Temple | tags: chinese_temple, spiritual, heritage, incense, calm | excellence: 0.84  
•	[culture] Fine Arts Museum Garden | tags: sculpture_garden, art, peaceful, culture, outdoor | excellence: 0.83
•	[culture] Mekong Delta Day Trip | tags: river_life, delta, scenic, villages, nature | excellence: 0.87
•	[culture] Saigon River Sunset Cruise | tags: river, sunset, scenic, experience, relaxed | excellence: 0.88
•	[culture] Opera House Performance | tags: live_show, performing_arts, cultural, evening, creative | excellence: 0.86
•	[walk] Nguyen Hue Street Walk | tags: walk, urban, pedestrian, evening, social | excellence: 0.89  
•	[walk] Dong Khoi Boutique Lane | tags: walk, shopping, fashion, urban, daytime | excellence: 0.88  
•	[walk] Ben Thanh Market Circuit | tags: walk, market, street_food, lively, daytime | excellence: 0.90  
•	[walk] Saigon River Promenade | tags: walk, river, sunset, scenic, relaxed | excellence: 0.87  
•	[walk] Bui Vien Backpacker Street | tags: walk, nightlife, neon, social, lively | excellence: 0.88  
•	[walk] Pham Ngu Lao Night Loop | tags: walk, backpacker_area, night, casual, energetic | excellence: 0.86  
•	[walk] Old Quarter Alley Walk | tags: walk, heritage, narrow_streets, exploration, daytime | excellence: 0.85
•	[walk] Cafe Apartment Stroll | tags: walk, cafe_hopping, architecture, relaxed, urban | excellence: 0.84  
•	[walk] Saigon Opera House Square | tags: walk, architecture, plaza, urban, photo | excellence: 0.83  
•	[walk] Thien Hau Temple Lane | tags: walk, cultural_path, spiritual, narrow, daytime | excellence: 0.82  
•	[walk] Mekong Riverside Walk | tags: walk, river, delta_influence, scenic, outdoor | excellence: 0.86


City: bangkok
•	[food] Jay Fai | tags: thai, seafood, street_food, spicy, casual | excellence: 0.93
•	[food] Thipsamai Pad Thai | tags: thai, pad_thai, noodles, classic, casual | excellence: 0.91
•	[food] Here Hai | tags: thai, crab_fried_rice, seafood, signature, casual | excellence: 0.90
•	[food] Rung Rueang Pork Noodles | tags: thai, noodle_soup, pork, street_food, local | excellence: 0.89
•	[food] Go-Ang Pratunam Boat Noodles | tags: thai, boat_noodles, broth, local, casual | excellence: 0.88
•	[food] Sook Siam Food Court | tags: thai, street_food_court, variety, casual, social | excellence: 0.87
•	[food] Baan Khanitha | tags: thai, fine_dining, classic, elegant, dinner | excellence: 0.92
•	[food] Blue Elephant | tags: thai, royal_cuisine, refined, dinner, elegant | excellence: 0.91
•	[food] Cabbages & Condoms | tags: thai, local_cuisine, social_enterprise, casual, lunch | excellence: 0.85
•	[food] Soul Food Mahanakorn | tags: thai, eastern_thai, creative, modern, dinner | excellence: 0.87
•	[food] Bo.Lan | tags: thai, traditional, tasting_menu, upscale, local | excellence: 0.93
•	[food] Err Urban Rustic Thai | tags: thai, casual, modern, snacks, local | excellence: 0.86
•	[food] Som Tam Nua | tags: thai, papaya_salad, spicy, street_food, casual | excellence: 0.88
•	[food] Khao Man Gai Pratunam | tags: thai, chicken_rice, street_food, local, lunch | excellence: 0.87
•	[food] Thanee Khao Moo Daeng | tags: thai, roast_pork_rice, casual, local, quick_bite | excellence: 0.88
•	[food] Wallflowers Upstairs | tags: bar_food, cocktails, modern, chic, social | excellence: 0.84
•	[food] Eat Me Restaurant | tags: international, modern, dinner, creative, elegant | excellence: 0.90
•	[food] Espresso Gallery | tags: cafe, coffee, brunch, relaxed, modern | excellence: 0.82
•	[food] Charcoal Tandoor Grill | tags: indian, grill, international, dinner, social | excellence: 0.80
•	[food] Sukhumvit Soi 38 Stalls | tags: thai, street_food, night, local, casual | excellence: 0.86
•	[food] Chinatown Seafood Alley | tags: seafood, street_food, night, lively, local | excellence: 0.87
•	[culture] Grand Palace | tags: palace, royal_architecture, heritage, landmark, historic | excellence: 0.96
•	[culture] Wat Pho | tags: temple, reclining_buddha, thai_culture, spiritual, historic | excellence: 0.94
•	[culture] Wat Arun | tags: temple, riverside, iconic, architecture, cultural | excellence: 0.93
•	[culture] Jim Thompson House | tags: museum, traditional_house, history, culture, art | excellence: 0.89
•	[culture] Chatuchak Weekend Market | tags: market, massive, shopping, local, vibrant | excellence: 0.91
•	[culture] Chinatown Yaowarat Road | tags: heritage, street_food, market, chinese_influence, urban | excellence: 0.92
•	[culture] Erawan Shrine | tags: shrine, spiritual, urban, colorful, local | excellence: 0.88
•	[culture] Bangkok Art and Culture Centre | tags: art, contemporary, exhibits, creative, culture | excellence: 0.87
•	[culture] Vimanmek Mansion | tags: historic_mansion, teak_wood, heritage, architecture, museum | excellence: 0.85
•	[culture] Museum of Siam | tags: museum, interactive, thai_history, culture, educational | excellence: 0.88
•	[culture] Lumphini Park | tags: park, nature, outdoor, relax, urban | excellence: 0.90
•	[culture] Asiatique The Riverfront | tags: market, riverfront, shopping, night, cultural | excellence: 0.89
•	[culture] Bangkok Folk Museum | tags: history, exhibits, traditional, learning, cultural | excellence: 0.83
•	[culture] Sea Life Bangkok Ocean World | tags: aquarium, marine_life, family, educational, indoor | excellence: 0.88
•	[culture] Rattanakosin Exhibition Hall | tags: history, culture, interactive, learning, royal | excellence: 0.87
•	[culture] Museum of Contemporary Art | tags: modern_art, exhibits, creative, culture, urban | excellence: 0.89
•	[culture] Bangkok Flower Market | tags: market, flowers, colorful, local, sensory | excellence: 0.90
•	[culture] Traditional Thai Puppet Show | tags: performing_arts, heritage, traditional, culture, stage | excellence: 0.86
•	[culture] Floating Market Samut Songkhram | tags: market, canal_boats, traditional_trade, scenic, local | excellence: 0.92
•	[walk] Riverside Chao Phraya Path | tags: walk, river, scenic, sunset, relaxed | excellence: 0.90
•	[walk] Yaowarat Chinatown Stroll | tags: walk, street_food, heritage, urban, day_night | excellence: 0.92
•	[walk] Khao San Road Walk | tags: walk, backpacker_area, neon, social, night | excellence: 0.89
•	[walk] Sukhumvit Avenue Trek | tags: walk, shopping, urban, modern, daytime | excellence: 0.88
•	[walk] Silom Night Market Circuit | tags: walk, night, market, lively, casual | excellence: 0.87
•	[walk] Old Town Heritage Walk | tags: walk, historic, temples, culture, daytime | excellence: 0.91
•	[walk] Lumpini Park Loop | tags: walk, park, nature, serene, daytime | excellence: 0.89
•	[walk] Talad Noi Creative Lane | tags: walk, art, narrow_streets, creative, local | excellence: 0.88
•	[walk] Asiatique Waterfront Promenade | tags: walk, riverfront, lights, night, leisure | excellence: 0.90
•	[walk] Bangkok Canalside Path | tags: walk, canals, local_life, scenic, outdoor | excellence: 0.87
•	[walk] Victory Monument Circle | tags: walk, urban, fluvial, day_night, busy | excellence: 0.86  



City: london
•	[food] Borough Market Stalls | tags: market, street_food, local, fresh, casual | excellence: 0.92
•	[food] Dishoom Covent Garden | tags: indian, breakfast, lunch, dinner, casual | excellence: 0.90
•	[food] Flat Iron Steakhouse | tags: british_steak, grill, hearty, casual, dinner | excellence: 0.88
•	[food] Padella | tags: italian, pasta, casual, lunch, local | excellence: 0.89
•	[food] Bob Bob Ricard | tags: british, champagne_button, refined, dinner, creative | excellence: 0.91
•	[food] Sketch Gallery | tags: modern_british, creative, afternoon_tea, stylish, elegant | excellence: 0.90
•	[food] The Ledbury | tags: modern_european, michelin, tasting_menu, refined, dinner | excellence: 0.96
•	[food] Hakkasan Mayfair | tags: chinese, fine_dining, modern, dinner, elegant | excellence: 0.93
•	[food] Shanghai Me | tags: pan_asian, fusion, skyline_view, dinner, modern | excellence: 0.89
•	[food] Forza Wine South Bank | tags: italian, wine_bar, river_view, casual, sunset | excellence: 0.88
•	[food] Homeslice Neal’s Yard | tags: pizza, wood_fired, casual, group, lunch | excellence: 0.87
•	[food] The Palomar | tags: middle_eastern, modern, dinner, creative, lively | excellence: 0.89
•	[food] M.Manze Pie & Mash | tags: british_tradition, pie_and_mash, casual, heritage, cheap | excellence: 0.85
•	[food] Camden Market Street Bites | tags: street_food, eclectic, local, casual, budget | excellence: 0.88
•	[food] Temple Brew House | tags: pub_food, beer, casual, social, lunch | excellence: 0.84
•	[food] OXO Tower Restaurant | tags: british, river_view, dinner, refined, skyline | excellence: 0.90
•	[food] Brasserie Zédel | tags: french, brasserie, classic, affordable, casual | excellence: 0.86
•	[food] Plates London | tags: vegan, michelin, modern, creative, dinner | excellence: 0.92
•	[food] Guzman y Gomez | tags: mexican, tacos, casual, quick_bite, fun | excellence: 0.81
•	[food] Bute Street Bakeries | tags: bakery, pastries, european, casual, sweets | excellence: 0.83
•	[food] Covent Garden Cafés | tags: cafe, coffee, pastries, relaxed, daytime | excellence: 0.82
•	[culture] Tower of London | tags: historic, castle, crown_jewels, heritage, iconic | excellence: 0.95  
•	[culture] British Museum | tags: museum, history, culture, exhibits, free | excellence: 0.94  
•	[culture] London Eye | tags: observation_wheel, skyline, river, landmark, photo | excellence: 0.93  
•	[culture] Buckingham Palace | tags: palace, royal, heritage, ceremonial, landmark | excellence: 0.92
•	[culture] Westminster Abbey | tags: abbey, gothic, history, heritage, sacred | excellence: 0.91
•	[culture] National Gallery | tags: art, museum, classics, culture, free | excellence: 0.92
•	[culture] Tate Modern | tags: modern_art, museum, creative, exhibits, urban | excellence: 0.90
•	[culture] Victoria & Albert Museum | tags: design, art, fashion, culture, historic | excellence: 0.89
•	[culture] Natural History Museum | tags: museum, science, nature, family, iconic | excellence: 0.90
•	[culture] Shakespeare’s Globe | tags: theatre, historic, performance, culture, riverside | excellence: 0.88
•	[culture] Camden Town Music Scene | tags: music_history, culture, punk, market, urban | excellence: 0.87  
•	[culture] St Paul’s Cathedral | tags: cathedral, architecture, heritage, dome, iconic | excellence: 0.92
•	[culture] Kew Gardens | tags: botanical_garden, nature, plants, heritage, scenic | excellence: 0.90
•	[culture] Greenwich Park | tags: park, observatory, historic, views, outdoors | excellence: 0.89
•	[culture] Science Museum | tags: museum, science, interactive, family, learning | excellence: 0.88
•	[culture] Royal Opera House | tags: opera, performance, arts, culture, refined | excellence: 0.89
•	[culture] Covent Garden Street Performers | tags: performance, street_art, theatre, lively, urban | excellence: 0.88
•	[culture] Hidden London Tours | tags: underground, history, secret, urban, unique | excellence: 0.86  
•	[walk] South Bank Riverside Walk | tags: walk, river, skyline, photo, daytime | excellence: 0.92  
•	[walk] Hyde Park & Kensington Gardens | tags: walk, park, trees, lake, leisure | excellence: 0.91  
•	[walk] Thames Path Section | tags: walk, river, scenic, outdoor, exercise | excellence: 0.90  
•	[walk] Camden High Street Stroll | tags: walk, market, music, urban, culture | excellence: 0.89  
•	[walk] Jubilee Walkway | tags: walk, landmarks, urban, history, photo | excellence: 0.90  
•	[walk] Regent’s Canal Towpath | tags: walk, canal, nature, city, relaxed | excellence: 0.88
•	[walk] Greenwich Foot Tunnel to Park | tags: walk, river, park, heritage, scenic | excellence: 0.89  
•	[walk] Covent Garden & Soho Lane | tags: walk, shopping, food, urban, daytime | excellence: 0.87
•	[walk] Notting Hill Lanes | tags: walk, pastel_houses, boutiques, market, relaxed | excellence: 0.88
•	[walk] Borough Market Evening Loop | tags: walk, market, lights, food, lively | excellence: 0.89  



City: edinburgh
•	[food] The Witchery | tags: scottish, fine_dining, heritage, romantic, dinner | excellence: 0.94
•	[food] Timberyard | tags: scottish, seasonal, farm_to_table, modern, dinner | excellence: 0.92
•	[food] The Kitchin | tags: scottish, michelin, seafood, refined, tasting_menu | excellence: 0.95
•	[food] Ondine | tags: seafood, oysters, elegant, dinner, british | excellence: 0.91
•	[food] Dishoom Edinburgh | tags: indian, brunch, casual, lively, modern | excellence: 0.88
•	[food] Noto | tags: small_plates, contemporary, creative, dinner, modern | excellence: 0.87
•	[food] Aizle | tags: seasonal_menu, tasting_menu, refined, local, dinner | excellence: 0.93
•	[food] Makars Mash Bar | tags: scottish, comfort_food, casual, lunch, traditional | excellence: 0.89
•	[food] The Outsider | tags: european, bistro, scenic_view, casual, lunch | excellence: 0.86
•	[food] Cafe St Honoré | tags: french, classic, wine, cozy, dinner | excellence: 0.88
•	[food] Mother India Cafe | tags: indian, tapas_style, casual, spicy, dinner | excellence: 0.87
•	[food] Ting Thai Caravan | tags: thai, street_food_style, casual, affordable, lunch | excellence: 0.85
•	[food] Oink Victoria Street | tags: hog_roast, sandwich, street_food, quick_bite, local | excellence: 0.84
•	[food] Mosque Kitchen | tags: indian, curry, budget, casual, lunch | excellence: 0.83
•	[food] The Scran & Scallie | tags: gastropub, scottish, hearty, dinner, local | excellence: 0.88
•	[food] Fishers Leith | tags: seafood, waterfront, classic, dinner, relaxed | excellence: 0.87
•	[food] Sora Lella | tags: italian, pasta, cozy, dinner, casual | excellence: 0.84
•	[food] Hendersons | tags: vegetarian, healthy, casual, lunch, local | excellence: 0.82
•	[food] Lovecrumbs | tags: cafe, cake, dessert, cozy, daytime | excellence: 0.83
•	[food] Mary’s Milk Bar | tags: gelato, dessert, artisan, sweet, casual | excellence: 0.86
•	[food] Panda & Sons | tags: cocktail_bar, speakeasy, nightlife, creative, social | excellence: 0.85
•	[food] The Hanging Bat | tags: craft_beer, pub, casual, social, evening | excellence: 0.82
•	[culture] Edinburgh Castle | tags: castle, medieval, landmark, heritage, history | excellence: 0.97
•	[culture] Royal Mile | tags: historic_street, old_town, heritage, architecture, cultural | excellence: 0.95
•	[culture] Palace of Holyroodhouse | tags: palace, royal_history, heritage, architecture, landmark | excellence: 0.92
•	[culture] National Museum of Scotland | tags: museum, history, exhibits, educational, family | excellence: 0.93
•	[culture] Scottish National Gallery | tags: art_museum, classics, culture, exhibits, heritage | excellence: 0.91
•	[culture] St Giles Cathedral | tags: cathedral, gothic, spiritual, heritage, architecture | excellence: 0.92
•	[culture] Calton Hill | tags: viewpoint, monuments, skyline, heritage, outdoor | excellence: 0.93
•	[culture] Arthur Seat | tags: hilltop, hiking, scenic, nature, outdoor | excellence: 0.94
•	[culture] Holyrood Park | tags: nature_reserve, landscape, outdoor, scenic, heritage | excellence: 0.90
•	[culture] Real Mary Kings Close | tags: underground, history, interactive, mystery, heritage | excellence: 0.90
•	[culture] Scottish Parliament Building | tags: modern_architecture, civic, design, political, contemporary | excellence: 0.87
•	[culture] Georgian House | tags: georgian_architecture, heritage, interior, museum, history | excellence: 0.88
•	[culture] Surgeons Hall Museums | tags: medical_history, museum, unusual, educational, exhibits | excellence: 0.86
•	[culture] Dean Village | tags: historic_village, riverside, scenic, heritage, tranquil | excellence: 0.89
•	[culture] Leith Shore | tags: waterfront, maritime_history, dining_scene, scenic, cultural | excellence: 0.90
•	[culture] Princes Street Gardens | tags: urban_park, scenic, heritage, relax, public_space | excellence: 0.91
•	[culture] Edinburgh Festival Fringe | tags: arts_festival, performance, creative, seasonal, cultural | excellence: 0.95
•	[culture] Camera Obscura World of Illusions | tags: interactive, optical_illusion, family, fun, historic_building | excellence: 0.88
•	[walk] Victoria Street Walk | tags: walk, colorful, old_town, photography, daytime | excellence: 0.93
•	[walk] Royal Mile Stroll | tags: walk, historic, architecture, lively, daytime | excellence: 0.94
•	[walk] Water of Leith Walkway | tags: walk, river, nature, calm, scenic | excellence: 0.90
•	[walk] Calton Hill Sunset Path | tags: walk, hill, sunset, skyline, scenic | excellence: 0.94
•	[walk] Arthur Seat Sunrise Trail | tags: walk, hike, sunrise, outdoor, scenic | excellence: 0.95
•	[walk] Stockbridge Village Loop | tags: walk, village_charm, cafes, relaxed, daytime | excellence: 0.88
•	[walk] Grassmarket Evening Walk | tags: walk, historic, pubs, nightlife, social | excellence: 0.89
•	[walk] Dean Village Riverside Path | tags: walk, riverside, tranquil, heritage, scenic | excellence: 0.90
•	[walk] New Town Georgian Walk | tags: walk, architecture, heritage, urban, daytime | excellence: 0.91
•	[walk] Holyrood Park Circuit | tags: walk, nature, landscape, outdoor, exploration | excellence: 0.89



City: paris
•	[food] Septime | tags: modern_french, michelin, tasting_menu, refined, dinner | excellence: 0.96
•	[food] Le Chateaubriand | tags: avant_garde, french, creative, dinner, trendy | excellence: 0.94
•	[food] Clamato | tags: seafood, casual, natural_wine, modern, lunch | excellence: 0.90
•	[food] Frenchie | tags: contemporary_french, bistro, dinner, stylish, local | excellence: 0.91
•	[food] Le Relais de lEntrecote | tags: steak_frites, classic, french, casual, iconic | excellence: 0.90
•	[food] Bouillon Pigalle | tags: bouillon, traditional, affordable, lively, dinner | excellence: 0.88
•	[food] Bistrot Paul Bert | tags: bistro, steak, classic, cozy, dinner | excellence: 0.89
•	[food] Chez Janou | tags: provençal, courtyard, casual, dinner, charming | excellence: 0.87
•	[food] LAs du Fallafel | tags: middle_eastern, street_food, sandwich, casual, local | excellence: 0.89
•	[food] Breizh Cafe | tags: creperie, galette, casual, lunch, regional | excellence: 0.86
•	[food] Du Pain et des Idees | tags: bakery, pastries, artisan, breakfast, casual | excellence: 0.88
•	[food] Pierre Herme Boutique | tags: patisserie, macarons, dessert, luxury, sweet | excellence: 0.90
•	[food] Angelina Rivoli | tags: cafe, hot_chocolate, elegant, dessert, classic | excellence: 0.89
•	[food] Cafe de Flore | tags: historic_cafe, coffee, literary, classic, brunch | excellence: 0.87
•	[food] Kodawari Ramen | tags: ramen, japanese, immersive, casual, noodles | excellence: 0.85
•	[food] Lao Siam | tags: thai, spicy, authentic, casual, dinner | excellence: 0.83
•	[food] Le Mary Celeste | tags: tapas, seafood, natural_wine, trendy, casual | excellence: 0.84
•	[food] Pink Mamma | tags: italian, pasta, lively, casual, instagrammable | excellence: 0.86
•	[food] Le Baratin | tags: bistro, natural_wine, local, dinner, authentic | excellence: 0.88
•	[food] Shabour | tags: israeli, fine_dining, creative, tasting_menu, modern | excellence: 0.92
•	[food] Le Comptoir du Relais | tags: french, bistro, refined, lunch, dinner | excellence: 0.91
•	[food] La Fontaine de Belleville | tags: cafe, coffee, casual, neighborhood, daytime | excellence: 0.82
•	[culture] Eiffel Tower | tags: landmark, architecture, iconic, skyline, historic | excellence: 0.98
•	[culture] Louvre Museum | tags: museum, art_masterpieces, historic, global_icon, cultural | excellence: 0.97
•	[culture] Notre Dame Cathedral | tags: cathedral, gothic, heritage, spiritual, landmark | excellence: 0.94
•	[culture] Musee dOrsay | tags: impressionism, museum, art, historic, cultural | excellence: 0.93
•	[culture] Centre Pompidou | tags: modern_art, museum, contemporary, architecture, cultural | excellence: 0.91
•	[culture] Sacre Coeur Basilica | tags: basilica, hilltop, panoramic_view, spiritual, heritage | excellence: 0.92
